Time,ID,XPosition,YPosition,ZPosition,Diameter
0.8905,2325.0,0.692563,2.24375,0.0220937,2.62074e-07
0.888,2342.0,0.466931,2.15365,0.0196849,2.67763e-05
0.8805,2520.0,0.520733,2.21726,0.0249983,2.62074e-07
0.878,2613.0,0.575855,2.02307,0.0534425,5.41524e-05
0.878,2626.0,0.466232,2.1984,0.0217636,5.85923e-06
0.878,2628.0,0.54464,2.03344,0.0567664,5.41527e-05
0.8755,2656.0,0.480616,2.17446,0.0100904,5.85923e-06
0.8755,2686.0,0.651331,2.27766,0.0187803,5.85923e-06
0.8705,2792.0,0.483281,2.18198,0.0136615,2.72087e-05
0.868,2852.0,0.525301,2.24257,0.0172021,2.75651e-05
0.863,2971.0,0.554072,2.24647,0.0181069,5.85923e-06
0.8605,3031.0,0.48915,2.2138,0.0566586,5.85923e-06
0.853,3196.0,0.512967,2.20167,0.0118475,5.85923e-06
0.853,3211.0,0.483934,2.20497,0.0327022,5.85923e-06
0.848,3331.0,0.479497,2.18777,0.0577386,5.85923e-06
0.848,3345.0,0.539519,2.228,0.0167981,2.62074e-07
0.843,3423.0,0.522218,2.04492,0.00791335,5.4506e-05
0.843,3436.0,0.570726,2.25238,0.000390308,5.85923e-06
0.833,3661.0,0.503365,2.21504,0.0450093,5.85923e-06
0.833,3677.0,0.482329,2.15757,0.0414698,2.80159e-05
0.833,3692.0,0.479285,2.16356,0.0295047,2.80231e-05
0.8305,3750.0,0.511052,2.23314,0.000788915,2.62074e-07
0.823,3903.0,0.542678,2.01515,0.0124631,5.48214e-05
0.818,4036.0,0.489531,2.18148,0.019047,5.85923e-06
0.818,4066.0,0.573044,2.25312,0.0795826,5.85923e-06
0.8155,4084.0,0.531254,2.06989,0.00594377,7.81967e-05
0.813,4141.0,0.58873,2.27276,0.0162048,5.85923e-06
0.813,4156.0,0.500767,2.08869,0.00845149,5.85923e-06
0.808,4275.0,0.521871,2.23849,0.0235465,2.62074e-07
0.808,4290.0,0.518241,2.21572,0.00936934,2.62074e-07
0.808,4307.0,0.443517,2.10667,0.02362,2.87859e-05
0.8055,4350.0,0.484315,2.19359,0.0176477,2.62074e-07
0.803,4396.0,0.491456,2.20803,0.030496,5.85923e-06
0.803,4398.0,0.48948,2.09028,0.0314432,5.49923e-05
0.8005,4440.0,0.531758,2.24722,0.0319934,2.62074e-07
0.798,4516.0,0.534109,2.21776,0.0230576,5.85923e-06
0.7955,4591.0,0.480462,2.20176,0.0408018,5.85923e-06
0.7905,4697.0,0.487594,2.14262,0.0317366,2.88833e-05
0.788,4742.0,0.526555,2.22463,0.0523477,2.89868e-05
0.788,4756.0,0.511908,2.16026,0.00452101,5.85923e-06
0.7855,4845.0,0.473016,2.09427,0.0855053,2.62074e-07
0.783,4861.0,0.524773,2.1974,0.0297969,5.85923e-06
0.7805,4922.0,0.494544,2.1959,0.030062,2.92648e-05
0.7805,4936.0,0.508862,2.21489,0.0128159,5.85923e-06
0.778,4995.0,0.5223,2.21118,0.0335052,2.62074e-07
0.7755,5085.0,0.497639,2.20294,0.0160361,2.62074e-07
0.773,5116.0,0.514236,2.20086,0.0257983,5.85923e-06
0.773,5131.0,0.526531,2.23952,0.000690596,5.85923e-06
0.768,5222.0,0.544931,2.23392,0.000932066,2.93457e-05
0.7655,5296.0,0.512576,2.19342,0.0135118,5.85923e-06
0.7655,5314.0,0.480197,2.07923,0.0420318,7.87314e-05
0.7605,5401.0,0.498275,2.20796,0.0168666,5.85923e-06
0.7605,5430.0,0.449617,2.16198,0.0463154,2.62074e-07
0.7605,5431.0,0.531849,2.21804,0.0565505,5.85923e-06
0.758,5460.0,0.509509,2.19745,0.00701718,2.62074e-07
0.753,5612.0,0.503047,2.18863,0.0579037,2.97945e-05
0.753,5625.0,0.530984,2.2194,0.023166,2.62074e-07
0.7505,5685.0,0.531702,2.1995,0.049725,2.62074e-07
0.7505,5686.0,0.558043,2.21798,0.0167959,5.85923e-06
0.748,5717.0,0.504998,2.17238,0.032346,2.99611e-05
0.748,5732.0,0.49476,2.18689,0.0360532,2.99699e-05
0.7455,5775.0,0.533261,2.21879,0.026551,2.62074e-07
0.7405,5910.0,0.520383,2.20264,0.0100531,2.62074e-07
0.738,5970.0,0.504049,2.18349,0.0505536,2.62074e-07
0.738,5971.0,0.535156,2.22436,0.0211933,5.85923e-06
0.733,6095.0,0.523955,2.05984,0.0233116,0.000101175
0.733,6106.0,0.53487,2.22647,0.0117082,5.85923e-06
0.7305,6120.0,0.551956,2.16329,0.0171531,2.62074e-07
0.7305,6121.0,0.527493,2.19413,0.00447672,5.85923e-06
0.728,6210.0,0.57024,2.19046,0.0161555,2.62074e-07
0.7205,6362.0,0.576988,2.08736,0.00714999,3.07874e-05
0.718,6450.0,0.588317,2.13094,0.00189123,2.62074e-07
0.7155,6526.0,0.572554,2.17364,0.0441248,5.85923e-06
0.713,6540.0,0.61279,2.09846,0.0162124,2.62074e-07
0.7105,6636.0,0.568358,2.00226,0.00628305,0.000123196
0.7105,6646.0,0.593426,2.10518,0.00518144,5.85923e-06
0.708,6676.0,0.66308,2.01052,0.00192855,5.85923e-06
0.7055,6736.0,0.615037,2.07733,0.00978589,5.85923e-06
0.703,6781.0,0.635887,2.01205,0.0234432,5.85923e-06
0.6955,7005.0,0.647938,2.01823,0.00982717,2.62074e-07
